symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
MOTILALOFS,INE338I01027,2025-04-07,NSE,EQ,EQ,buy,false,1.000000,558.299988,401309359,1200000005777831,2025-04-07T09:24:02
KOTHARIPET,INE720A01015,2025-04-07,NSE,EQ,EQ,buy,false,5.000000,150.000000,401726861,1200000008308182,2025-04-07T09:28:49
KSOLVES,INE0D6I01023,2025-04-07,NSE,EQ,EQ,buy,false,1.000000,420.000000,403755455,1200000016563667,2025-04-07T09:44:51
GANESHHOUC,INE460C01014,2025-04-21,NSE,EQ,EQ,buy,false,1.000000,1111.400024,204927320,1100000035262653,2025-04-21T11:45:17
ETERNAL,INE758T01015,2025-04-21,BSE,EQ,A,buy,false,2.000000,232.500000,4067000,1745213498795628473,2025-04-21T11:46:39
KSOLVES,INE0D6I01023,2025-04-21,NSE,EQ,EQ,buy,false,2.000000,448.000000,404770765,1200000037785698,2025-04-21T11:47:23
INDIGOPNTS,INE09VQ01012,2025-04-29,BSE,EQ,A,buy,false,1.000000,999.900024,7065800,1745901355766161069,2025-04-29T10:11:55
KSOLVES,INE0D6I01023,2025-05-07,NSE,EQ,EQ,buy,false,2.000000,336.200012,400059792,1200000000264311,2025-05-07T09:15:08
REDTAPE,INE0LXT01019,2025-05-07,NSE,EQ,EQ,buy,false,5.000000,129.919998,600432865,1300000002241326,2025-05-07T09:18:14
KSOLVES,INE0D6I01023,2025-05-07,NSE,EQ,EQ,buy,false,1.000000,336.200012,406690248,1200000068879321,2025-05-07T14:24:09
ASIANPAINT,INE021A01026,2025-05-09,NSE,EQ,EQ,sell,false,1.000000,2311.000000,859281,1000000005181551,2025-05-09T09:25:18
FCL,INE045J01026,2025-05-12,NSE,EQ,EQ,buy,false,1.000000,239.860001,201819394,1100000012835823,2025-05-12T09:43:22
FCL,INE045J01026,2025-05-12,NSE,EQ,EQ,buy,false,4.000000,239.860001,201819395,1100000012835823,2025-05-12T09:43:22
GANESHHOUC,INE460C01014,2025-05-14,NSE,EQ,EQ,buy,false,1.000000,963.599976,208429130,1100000070956199,2025-05-14T14:27:58
ESAFSFB,INE818W01011,2025-05-23,NSE,EQ,EQ,sell,false,40.000000,30.299999,207708263,1100000078247402,2025-05-23T14:47:13
SPANDANA,INE572J01011,2025-06-02,BSE,EQ,A,sell,false,5.000000,271.799988,6683600,1748839772285296129,2025-06-02T10:30:16
FUSION,INE139R01012,2025-06-02,NSE,EQ,EQ,sell,false,10.000000,171.350006,203455403,1100000026472109,2025-06-02T10:30:44
MEDANTA,INE474Q01031,2025-06-10,NSE,EQ,EQ,buy,false,1.000000,1199.699951,405336190,1200000049452405,2025-06-10T13:53:09
REDTAPE,INE0LXT01019,2025-06-16,BSE,EQ,A,buy,false,5.000000,129.399994,355400,1750044600126176830,2025-06-16T09:21:08
KSOLVES,INE0D6I01023,2025-06-17,BSE,EQ,B,buy,false,1.000000,349.399994,10272000,1750137630194713344,2025-06-17T11:14:35
GANESHHOUC,INE460C01014,2025-06-27,BSE,EQ,B,buy,false,1.000000,998.200012,1084200,1750995000045520234,2025-06-27T09:25:14
IIFL,INE530B01024,2025-07-09,BSE,EQ,A,sell,false,10.000000,505.000000,9940600,1752043755264449484,2025-07-09T12:39:30
AGARIND,INE204E01012,2025-07-09,NSE,EQ,EQ,buy,false,1.000000,933.500000,3410919,1000000034891437,2025-07-09T12:40:40
GANESHHOUC,INE460C01014,2025-07-14,BSE,EQ,A,buy,false,1.000000,990.349976,4792100,1752481487954383687,2025-07-14T14:26:43
INDIGOPNTS,INE09VQ01012,2025-07-24,NSE,EQ,EQ,buy,false,1.000000,1196.699951,201272670,1100000010090887,2025-07-24T09:39:37
REDTAPE,INE0LXT01019,2025-07-24,BSE,EQ,B,buy,false,10.000000,132.899994,807600,1753327800031231372,2025-07-24T09:39:53
GANESHHOUC,INE460C01014,2025-07-24,BSE,EQ,A,buy,false,1.000000,907.900024,1461500,1753329594576419294,2025-07-24T09:40:00
MOTILALOFS,INE338I01027,2025-07-24,NSE,EQ,EQ,buy,false,1.000000,925.900024,405962135,1200000067191273,2025-07-24T14:16:55
GANESHHOUC,INE460C01014,2025-07-25,BSE,EQ,A,buy,false,1.000000,893.900024,5213500,1753426408850821310,2025-07-25T13:17:20
REDTAPE,INE0LXT01019,2025-08-01,BSE,EQ,B,buy,false,5.000000,130.050003,224500,1754019000013080581,2025-08-01T09:27:44
GANESHHOUC,INE460C01014,2025-08-05,NSE,EQ,EQ,buy,false,1.000000,882.700012,205275300,1100000050861730,2025-08-05T13:22:06
